order_id;order_date;customer_id;customer_age;customer_segment;region;product_id;category;price;quantity;discount_pct;payment_method;channel;shipping_cost;subtotal;cost;profit;is_returned;marketing_channel;campaign_id;promo_flag
O104466;04/09/2023;C00776;35;Bronze;South;P0132;Toys;148.87;1;0.02;Debit Card;Store;4.21;145.89;123.46;18.22;False;Social;;False
O104917;30/08/2024;C02608;34;Bronze;East;P0155;Beauty;172.79;1;0;Credit Card;Mobile App;4.93;172.79;119.73;48.13;False;Organic;;False
O103512;11/07/2023;C00286;37;Bronze;West;P0116;Toys;174.7;2;0;Credit Card;Online;4.09;349.4;207.3;138.01;False;Paid Search;;False
O105284;28/07/2024;C01153;51;Silver;South;P0170;Beauty;109.72;3;0.04;Gift Card;Online;7.09;315.99;215.46;93.44;False;Organic;;False
O106613;02/08/2024;C02568;29;Platinum;Central;P0070;Toys;124.96;1;0.08;Credit Card;Online;8.81;114.96;74.81;31.34;False;Social;;False
O109055;25/12/2024;C00693;45;Platinum;South;P0185;Sports;151.14;1;0.14;Debit Card;Mobile App;3.24;129.98;94.07;32.67;False;Organic;;False
O102125;05/10/2024;C02865;33;Bronze;East;P0086;Clothing;34.59;1;0.02;Credit Card;Online;5.94;33.9;24.68;3.28;False;Social;;False
O104676;07/10/2024;C01964;43;Gold;Central;P0009;Toys;137.98;1;0.05;Credit Card;Mobile App;6.05;131.08;104.45;20.58;False;Organic;;False
O108812;27/10/2023;C00738;37;Silver;Central;P0047;Beauty;140.11;2;0;Credit Card;Online;5.4;280.22;180.2;94.62;False;Organic;;False
O108758;12/03/2023;C01688;;Bronze;East;P0101;Toys;105.71;2;0;PayPal;Online;4.41;211.42;154.54;52.47;False;;;False
O109435;19/05/2024;C02731;39;Bronze;North;P0179;Sports;151.77;1;0;Credit Card;Online;8.7;151.77;92.94;50.13;False;Organic;;False
O102470;21/08/2024;C02512;45;Bronze;South;P0024;Electronics;92.93;1;0;PayPal;Mobile App;3.05;92.93;67.2;22.68;False;Organic;;False
O109695;13/09/2024;C02977;46;Silver;East;P0196;Electronics;158.72;2;0;Debit Card;Online;3.84;317.44;197.58;116.02;False;Organic;;False
O111361;20/11/2023;C00266;45;Silver;North;P0172;Beauty;127.85;1;0.01;Credit Card;Online;6.11;126.57;88.75;31.71;False;Organic;;False
O104066;12/05/2023;C02854;21;Silver;South;P0118;Home;115.53;1;0.03;Credit Card;Online;3.29;112.06;78.39;30.38;False;Social;;False
